episode_id,t_step,event_type,phase,risk_before,risk_after,world_x,world_y,world_z,resolved_by,resume_success
drawer-lighting-s0-octo-ep000,0,pause,open_drawer,0.290308,0.170308,0.069696,0.069546,0.39264,reobserve,True
drawer-lighting-s0-octo-ep000,3,resume,place_in_bin,0.198864,0.198864,-0.005082,0.178336,0.280977,policy,True
drawer-lighting-s0-octo-ep001,0,pause,open_drawer,0.297743,0.177743,0.020123,-0.246432,0.384226,reobserve,True
drawer-lighting-s0-octo-ep001,4,resume,place_in_bin,0.1785,0.1785,0.495092,-0.407274,0.238148,policy,True
drawer-lighting-s0-octo-ep002,0,pause,open_drawer,0.296377,0.176377,-0.235639,-0.053057,0.368454,reobserve,True
drawer-lighting-s0-octo-ep002,4,resume,place_in_bin,0.183004,0.183004,-0.002901,-0.464241,0.224211,policy,True
drawer-lighting-s0-octo-ep003,0,pause,open_drawer,0.279234,0.159234,-0.562096,-0.228833,0.378123,reobserve,True
drawer-lighting-s0-octo-ep003,4,resume,place_in_bin,0.183204,0.183204,-0.280958,-0.303654,0.242873,policy,True
drawer-lighting-s0-octo-ep004,0,pause,open_drawer,0.290011,0.170011,-0.365094,0.279902,0.35406,reobserve,True
drawer-lighting-s0-octo-ep004,3,resume,place_in_bin,0.197168,0.197168,-0.166679,0.163539,0.27148,policy,True
drawer-lighting-s1-openvla-ep000,0,pause,open_drawer,0.399315,0.279315,0.324119,-0.248358,0.391834,reobserve,True
drawer-lighting-s1-openvla-ep001,0,pause,open_drawer,0.391148,0.271148,0.247336,0.419767,0.342629,reobserve,True
drawer-lighting-s1-openvla-ep002,0,pause,open_drawer,0.397966,0.277966,-0.175829,-0.357902,0.387703,reobserve,True
drawer-lighting-s1-openvla-ep002,8,resume,close_drawer,0.196754,0.196754,0.566361,-0.257949,0.119463,policy,True
drawer-lighting-s1-openvla-ep003,0,pause,open_drawer,0.396248,0.276248,-0.421998,0.407385,0.360026,reobserve,True
drawer-lighting-s1-openvla-ep003,8,resume,close_drawer,0.194833,0.194833,0.587144,-0.124348,0.118422,policy,True
drawer-lighting-s1-openvla-ep004,0,pause,open_drawer,0.395811,0.275811,-0.414215,-0.043436,0.38376,reobserve,True
