episode_id,t_step,phase,ee_pose,joint_positions,raw_policy_confidence,raw_uncertainty,uncertainty_entropy,uncertainty_variance,calibrated_success_prob,calibrated_failure_risk,gating_state,action_vector,observation_frame_path
drawer-lighting-s0-openvla-ep000,0,open_drawer,"[0.4197,0.3062,0.117 ]","[0.4197,0.3062,0.117 ,0.0041,0.0011,0.2183,0.2113]",0.97539,0.118281,0.115474,0.002806,0.862929,0.196211,proceed,"[0.4197,0.3062,0.117 ,0.0041,0.0011,0.2183,0.2113]",
drawer-lighting-s0-openvla-ep000,1,grasp_block,"[0.4404,0.326 ,0.2215]","[ 0.4404, 0.326 , 0.2215, 0.0969,-0.0279, 0.2031, 0.1632]",0.980415,0.099151,0.096417,0.002735,0.876166,0.17341,proceed,"[ 0.4404, 0.326 , 0.2215, 0.0969,-0.0279, 0.2031, 0.1632]",
drawer-lighting-s0-openvla-ep000,2,grasp_block,"[0.1405,0.0934,0.1109]","[0.1405,0.0934,0.1109,0.0686,0.0992,0.0541,0.1234]",0.982625,0.091364,0.087636,0.003727,0.882633,0.163049,proceed,"[0.1405,0.0934,0.1109,0.0686,0.0992,0.0541,0.1234]",
drawer-lighting-s0-openvla-ep000,3,place_in_bin,"[0.2358,0.0258,0.1263]","[ 0.2358, 0.0258, 0.1263, 0.1609, 0.1138,-0.0026, 0.1892]",0.987812,0.068715,0.065826,0.002889,0.900028,0.134329,proceed,"[ 0.2358, 0.0258, 0.1263, 0.1609, 0.1138,-0.0026, 0.1892]",
drawer-lighting-s0-openvla-ep000,4,place_in_bin,"[-0.1166,-0.253 , 0.1451]","[-0.1166,-0.253 , 0.1451, 0.1817, 0.2147,-0.0782, 0.1652]",0.989957,0.060523,0.056198,0.004325,0.908494,0.121768,proceed,"[-0.1166,-0.253 , 0.1451, 0.1817, 0.2147,-0.0782, 0.1652]",
drawer-lighting-s0-openvla-ep000,5,close_drawer,"[-0.0979,-0.3207, 0.1249]","[-0.0979,-0.3207, 0.1249, 0.2301, 0.1778,-0.1095, 0.1844]",0.991357,0.05209,0.049664,0.002425,0.914604,0.111441,proceed,"[-0.0979,-0.3207, 0.1249, 0.2301, 0.1778,-0.1095, 0.1844]",
drawer-lighting-s0-openvla-ep000,6,close_drawer,"[-0.4228,-0.4335, 0.1039]","[-0.4228,-0.4335, 0.1039, 0.2472, 0.3226,-0.1519, 0.1809]",0.992523,0.046861,0.044052,0.002809,0.920139,0.103292,proceed,"[-0.4228,-0.4335, 0.1039, 0.2472, 0.3226,-0.1519, 0.1809]",
drawer-lighting-s0-openvla-ep000,7,close_drawer,"[-0.3165,-0.575 , 0.1351]","[-0.3165,-0.575 , 0.1351, 0.3595, 0.2477,-0.1908, 0.2415]",0.993866,0.039732,0.037358,0.002374,0.927163,0.092703,proceed,"[-0.3165,-0.575 , 0.1351, 0.3595, 0.2477,-0.1908, 0.2415]",
drawer-lighting-s0-openvla-ep001,0,open_drawer,"[0.4139,0.3073,0.1611]","[0.4139,0.3073,0.1611,0.0285,0.0114,0.212 ,0.1616]",0.975481,0.118425,0.115138,0.003287,0.863154,0.196058,proceed,"[0.4139,0.3073,0.1611,0.0285,0.0114,0.212 ,0.1616]",
drawer-lighting-s0-openvla-ep001,1,grasp_block,"[0.4395,0.2929,0.2201]","[ 0.4395, 0.2929, 0.2201, 0.1004,-0.0345, 0.1676, 0.2131]",0.979963,0.100564,0.098183,0.002382,0.874896,0.175387,proceed,"[ 0.4395, 0.2929, 0.2201, 0.1004,-0.0345, 0.1676, 0.2131]",
drawer-lighting-s0-openvla-ep001,2,grasp_block,"[0.1467,0.0592,0.1082]","[0.1467,0.0592,0.1082,0.1261,0.0994,0.0274,0.1401]",0.985707,0.077659,0.074907,0.002752,0.892523,0.146306,proceed,"[0.1467,0.0592,0.1082,0.1261,0.0994,0.0274,0.1401]",
drawer-lighting-s0-openvla-ep001,3,place_in_bin,"[ 0.2353,-0.0032, 0.158 ]","[ 0.2353,-0.0032, 0.158 , 0.2015, 0.0821,-0.0193, 0.1953]",0.987923,0.068184,0.065339,0.002845,0.900442,0.13365,proceed,"[ 0.2353,-0.0032, 0.158 , 0.2015, 0.0821,-0.0193, 0.1953]",
drawer-lighting-s0-openvla-ep001,4,place_in_bin,"[-0.1366,-0.2653, 0.117 ]","[-0.1366,-0.2653, 0.117 , 0.2259, 0.21  ,-0.0598, 0.2179]",0.989569,0.060743,0.057972,0.002771,0.90689,0.123482,proceed,"[-0.1366,-0.2653, 0.117 , 0.2259, 0.21  ,-0.0598, 0.2179]",
drawer-lighting-s0-openvla-ep001,5,close_drawer,"[-0.061 ,-0.2864, 0.1374]","[-0.061 ,-0.2864, 0.1374, 0.2482, 0.1891,-0.1265, 0.2327]",0.991266,0.05401,0.050096,0.003914,0.91419,0.112815,proceed,"[-0.061 ,-0.2864, 0.1374, 0.2482, 0.1891,-0.1265, 0.2327]",
drawer-lighting-s0-openvla-ep001,6,close_drawer,"[-0.4135,-0.4357, 0.1124]","[-0.4135,-0.4357, 0.1124, 0.2383, 0.3502,-0.1772, 0.1777]",0.992529,0.046613,0.044023,0.00259,0.920168,0.103139,proceed,"[-0.4135,-0.4357, 0.1124, 0.2383, 0.3502,-0.1772, 0.1777]",
drawer-lighting-s0-openvla-ep001,7,close_drawer,"[-0.352,-0.475, 0.121]","[-0.352 ,-0.475 , 0.121 , 0.3517, 0.2793,-0.171 , 0.249 ]",0.993976,0.039596,0.036799,0.002797,0.927773,0.092025,proceed,"[-0.352 ,-0.475 , 0.121 , 0.3517, 0.2793,-0.171 , 0.249 ]",
